127.0.0.1 - - [17/Oct/2024:18:54:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Oct/2024:18:54:26 +0530] "GET /SpringMVC-view/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [17/Oct/2024:18:54:31 +0530] "GET /SpringMVC-view/home HTTP/1.1" 500 4670
0:0:0:0:0:0:0:1 - - [17/Oct/2024:18:55:35 +0530] "GET /SpringMVC-view/home HTTP/1.1" 500 4564
0:0:0:0:0:0:0:1 - - [17/Oct/2024:18:55:36 +0530] "GET /SpringMVC-view/home HTTP/1.1" 500 4564
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:00:55 +0530] "GET /SpringMVC-view/home HTTP/1.1" 500 4539
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:02:42 +0530] "GET /SpringMVC-view/home HTTP/1.1" 500 3233
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:05:51 +0530] "GET /SpringMVC-view/home HTTP/1.1" 500 4490
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:06:56 +0530] "GET /SpringMVC-view/home HTTP/1.1" 500 4490
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:06:58 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:07:38 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:08:09 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:08:30 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:08:48 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:08:49 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:08:58 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:11:19 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:11:39 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:11:52 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:19:29 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:19:36 +0530] "GET /SpringMVC-view/about HTTP/1.1" 500 3544
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:20:28 +0530] "GET /SpringMVC-view/about HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:20:54 +0530] "GET /SpringMVC-view/about HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:21:01 +0530] "GET /SpringMVC-view/about HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [17/Oct/2024:19:21:07 +0530] "GET /SpringMVC-view/home HTTP/1.1" 200 536
